"Data Source","Indicadores del desarrollo mundial",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.9560067681895","24.8421052631579","24.3143690736689","27.0848708487085","20.6501297016861","23.7193558007754","19.2135493372607","12.2033029612756","14.6605629953539","17.2443012884044","-1.67329094354892","13.1030862170209","2.9271854788233","15.3448614659069","11.1682345219864","4.66757741347905","-1.24735281660312","5.76158940397351","6.83042105263158","10.5807631305044","14.8750389705882","15.3593480755347","14.1545768351861","11.195906393529","15.4069345029863","5.39121550145195","14.9579771493818",
"","AFE","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9892964220908","13.5274666739478","13.9957759681697","16.9167899751381","16.0994161346999","","","","","","20.2282713436008","16.1144120043707","19.9282898969897","20.1203916230615","21.5760079429238","21.9929980286552","23.0900901112306","22.7359121601317","21.7031716127233","18.6230057128833","20.1986420501848","20.5174390099879","18.8811350842317","18.6952539705098","19.7875366836701","18.4749562431216","19.0150684302041","19.3850682370723","19.415253848071","20.7041269687622","20.3747423454172","19.6809927631153",
"Afganistán","AFG","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFW","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","66.0533340591309","64.066675544544","57.4542756615586","47.1234313539264","38.0763760452576","40.7973088370915","39.7302618667805","37.18080750554","48.9395977437401","45.3694030554006","43.5034488925765","37.6754160000691","35.3606892902666","33.9160710513601","34.1094278205207","31.976659814272","33.7337928267553","28.2823852151073","37.3384427343721","41.5339093350899","29.5273178245756","25.7447695892162","24.9191676021873","26.8711883380822","28.6440971632044","37.87226622659","21.3610139086245","25.2419404161723","20.5473192708102","20.5125156262882","20.8274922260145","26.8107342522672","17.9846244098992","22.0951303931123","18.0484728553973","16.4924821382874","17.955235010488","18.6772333743751","21.3711821811112","26.1255757738891","31.3289041418177",
"Angola","AGO","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.207877246423","14.4802221618501","28.8768162146426","26.0554613232639","33.5571223001767","41.1877598185622","43.4546137882435","41.4989470149038","38.6589114734292","27.6578374308997","36.9739091341706","37.862381896956","37.1993487269598","31.9913823623496","29.8730788118749","24.7829289681776","23.9670097387006","23.0558481100874","25.0927109367665","32.0956474510472","30.4310442583017","40.2098512426354",
"Albania","ALB","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","27.8112263051868","28.4100004335346","28.2425665773267","26.0607555881553","23.7252668969749","26.8282680674096","18.7777579223622","-10.9519889602208","-11.9935808855625","11.2082081228168","3.10983687998731","16.3575110147134","16.1325056780287","5.57239439340344","17.3374359747225","14.8995793450768","25.8913491846552","28.9252187864385","25.5167165764119","26.2582688780353","29.3848368163144","30.1065020174443","29.0689462452266","23.9542940151917","17.7309235239816","17.335894541666","19.9676199217899","20.5454557839283","19.6251036733498","17.741294209226","15.9293874874597","16.8639814035927","17.0490732471495","16.5293641587755","16.5472333763493","14.3966063450874","13.5030553095609","19.2922621157782",
"Andorra","AND","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"El mundo árabe","ARB","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.3661930295958","42.0075400252607","41.7048548809087","44.9371946440326","31.8057106230039","36.6169999158693","40.7406394523543","39.6709845608839","37.6063039735959","34.3422146893273","25.2113631653619","25.0159822138509","28.2962724468049","31.9792007160807","30.1625479376896","22.2479554745635","",
"Emiratos Árabes Unidos","ARE","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Ahorro bruto (% del PIB)","NY.GNS.ICTR.ZS","","","","","","","","","","","","","","","","","34.0487067304709","32.5077111131019","30.1794054822846","25.2160967346455","22.9884302060225","19.8802568653612","18.3585987862388","18.5376271806435","17.6222626813704","17.6861451460886","14.7833054557019","15.1979016214147","17.6090832147809","13.6301814012069","16.0433766574382","13.5618560304189","13.6516281676646","16.2505279122602","15.6483624533872","16.5116322700598","17.1300773563084","16.6642824266429","16.1297343275958","13.6619163753345","14.3684376958258","14.2140728227831","21.3431768782392","21.7345330075457","13.7828348747865","13.7086097328953","21.4172295393985","22.2314441717013","21.1268023980529","18.3213663046327","17.3318557921569","17.3332155649683","16.2099451316674","15.1944663729121","15.909027608976","14.3058273001867","14.6222553086144","13.068848553946","11.3939154816929","13.6907954764669","17.0195720199631","21.55202910006",
