"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HHSAV","TOT","PC_HHDI","A","1970",14.811225676409,
"AUS","HHSAV","TOT","PC_HHDI","A","1971",14.9706252622744,
"AUS","HHSAV","TOT","PC_HHDI","A","1972",17.0399608347102,
"AUS","HHSAV","TOT","PC_HHDI","A","1973",18.8068781738649,
"AUS","HHSAV","TOT","PC_HHDI","A","1974",18.0275890467367,
"AUS","HHSAV","TOT","PC_HHDI","A","1975",16.5802458060465,
"AUS","HHSAV","TOT","PC_HHDI","A","1976",15.3113985373352,
"AUS","HHSAV","TOT","PC_HHDI","A","1977",14.466719225138,
"AUS","HHSAV","TOT","PC_HHDI","A","1978",15.8601108206482,
"AUS","HHSAV","TOT","PC_HHDI","A","1979",15.1560245310245,
"AUS","HHSAV","TOT","PC_HHDI","A","1980",15.0425648429332,
"AUS","HHSAV","TOT","PC_HHDI","A","1981",14.3098008882245,
"AUS","HHSAV","TOT","PC_HHDI","A","1982",11.8705489380475,
"AUS","HHSAV","TOT","PC_HHDI","A","1983",13.8002045105948,
"AUS","HHSAV","TOT","PC_HHDI","A","1984",14.2535046883911,
"AUS","HHSAV","TOT","PC_HHDI","A","1985",11.5290547716583,
"AUS","HHSAV","TOT","PC_HHDI","A","1986",8.87948901852929,
"AUS","HHSAV","TOT","PC_HHDI","A","1987",7.81797026502909,
"AUS","HHSAV","TOT","PC_HHDI","A","1988",8.62856040635247,
"AUS","HHSAV","TOT","PC_HHDI","A","1989",8.60318076508509,
"AUS","HHSAV","TOT","PC_HHDI","A","1990",7.60793639581518,
"AUS","HHSAV","TOT","PC_HHDI","A","1991",5.759928644124,
"AUS","HHSAV","TOT","PC_HHDI","A","1992",6.0140372739101,
"AUS","HHSAV","TOT","PC_HHDI","A","1993",5.94185423365488,
"AUS","HHSAV","TOT","PC_HHDI","A","1994",4.65527361765643,
"AUS","HHSAV","TOT","PC_HHDI","A","1995",4.72023503349732,
"AUS","HHSAV","TOT","PC_HHDI","A","1996",6.25316139321483,
"AUS","HHSAV","TOT","PC_HHDI","A","1997",3.29384787343143,
"AUS","HHSAV","TOT","PC_HHDI","A","1998",0.767646300521467,
"AUS","HHSAV","TOT","PC_HHDI","A","1999",0.315686526425637,
"AUS","HHSAV","TOT","PC_HHDI","A","2000",1.59198919481716,
"AUS","HHSAV","TOT","PC_HHDI","A","2001",2.72119997843705,
"AUS","HHSAV","TOT","PC_HHDI","A","2002",-1.33402080775331,
"AUS","HHSAV","TOT","PC_HHDI","A","2003",-0.76539588846333,
"AUS","HHSAV","TOT","PC_HHDI","A","2004",0.278831710287791,
"AUS","HHSAV","TOT","PC_HHDI","A","2005",-0.825982271073345,
"AUS","HHSAV","TOT","PC_HHDI","A","2006",-0.206291309629284,
"AUS","HHSAV","TOT","PC_HHDI","A","2007",0.970453804686596,
"AUS","HHSAV","TOT","PC_HHDI","A","2008",7.68653145759321,
"AUS","HHSAV","TOT","PC_HHDI","A","2009",5.64529510833422,
"AUS","HHSAV","TOT","PC_HHDI","A","2010",7.36324867587729,
"AUS","HHSAV","TOT","PC_HHDI","A","2011",7.94858534174226,
"AUS","HHSAV","TOT","PC_HHDI","A","2012",6.54172737219006,
"AUS","HHSAV","TOT","PC_HHDI","A","2013",7.40707108676462,
"AUS","HHSAV","TOT","PC_HHDI","A","2014",7.61217314742119,
"AUS","HHSAV","TOT","PC_HHDI","A","2015",6.10479736485855,
"AUS","HHSAV","TOT","PC_HHDI","A","2016",5.48306786395484,
"AUS","HHSAV","TOT","PC_HHDI","A","2017",4.87147537180372,
"AUS","HHSAV","TOT","PC_HHDI","A","2018",5.70689910546372,
"AUS","HHSAV","TOT","PC_HHDI","A","2019",12.2218127973755,
"AUS","HHSAV","TOT","PC_HHDI","A","2020",15.3310328481961,
"AUS","HHSAV","TOT","PC_HHDI","A","2021",13.0278424513404,
"AUT","HHSAV","TOT","PC_HHDI","A","1995",14.650994839099,
"AUT","HHSAV","TOT","PC_HHDI","A","1996",11.9397096028179,
"AUT","HHSAV","TOT","PC_HHDI","A","1997",10.4232014998011,
"AUT","HHSAV","TOT","PC_HHDI","A","1998",10.3455205595328,
"AUT","HHSAV","TOT","PC_HHDI","A","1999",11.8836299861695,
"AUT","HHSAV","TOT","PC_HHDI","A","2000",10.6323620101249,
"AUT","HHSAV","TOT","PC_HHDI","A","2001",9.02211155348111,
"AUT","HHSAV","TOT","PC_HHDI","A","2002",9.40017464120189,
"AUT","HHSAV","TOT","PC_HHDI","A","2003",9.64812925464156,
"AUT","HHSAV","TOT","PC_HHDI","A","2004",9.52426830502389,
"AUT","HHSAV","TOT","PC_HHDI","A","2005",11.13639539683,
"AUT","HHSAV","TOT","PC_HHDI","A","2006",11.6196364290299,
